EDOCPEPPOLCRMEMOIMP|PEPPOLATTACHMENT|1|AdditionalDocumentReferenceID|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLATTACHMENT|2|EmbeddedDocumentBinaryObject|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLATTACHMENT|3|MimeCode|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLATTACHMENT|4|Filename|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|1|ID|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|2|IssueDate|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|3|DocumentCurrencyCode|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|5|OrderReferenceID|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|6|InvoiceDocumentReferenceId|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|7|SupplierEndpointGLNID|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|8|SupplierEndpointVATID|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|9|SupplierName|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|10|PartyLegalEntityCompanyIDGLN|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|11|PartyLegalEntityCompanyIDVAT|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|12|CustomerEndpointIDGLN|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|13|CustomerPartyIdentificationIDGLN|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|14|CustPartyTaxSchemeCompanyID|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|15|CustPartyLegalEntityCompanyID|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|16|PartyLegalEntityName|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|17|DiscountAmount|0|#
EDOCPEPPOLCRMEMOIMP|PEPPOLCRMEMOHEADER|18|DiscountCurrencyID|0|#
