A-BLK|Assembly Blanket Orders|1|1|0|C749D1DB-D953-F111-8E26-7CED8D9E4094
A-ORD|Assembly Orders|1|1|0|C949D1DB-D953-F111-8E26-7CED8D9E4094
A-ORD+|Posted Assembly Orders|1|1|0|CB49D1DB-D953-F111-8E26-7CED8D9E4094
A-QUO|Assembly Quote|1|1|0|CD49D1DB-D953-F111-8E26-7CED8D9E4094
BANK|BANK|1|1|0|CF49D1DB-D953-F111-8E26-7CED8D9E4094
CAMP|Campaign|1|1|0|D149D1DB-D953-F111-8E26-7CED8D9E4094
CASHFLOW|CashFlow|1|1|0|D349D1DB-D953-F111-8E26-7CED8D9E4094
CONT|Contact|1|1|0|D549D1DB-D953-F111-8E26-7CED8D9E4094
CUST|Customer|1|1|0|454AD1DB-D953-F111-8E26-7CED8D9E4094
D-INV|Draft Invoice|1|1|0|D749D1DB-D953-F111-8E26-7CED8D9E4094
D-INV+|Posted Invoice|1|1|0|D949D1DB-D953-F111-8E26-7CED8D9E4094
D-QUO|Estimate|1|1|0|DB49D1DB-D953-F111-8E26-7CED8D9E4094
ECSL|EC Sales List reports.|1|1|0|DD49D1DB-D953-F111-8E26-7CED8D9E4094
EMP|Employee|1|1|0|CC52D1DB-D953-F111-8E26-7CED8D9E4094
FA|Fixed Asset|1|1|0|A452D1DB-D953-F111-8E26-7CED8D9E4094
FA-INS|Insurance|1|1|0|A652D1DB-D953-F111-8E26-7CED8D9E4094
FA-INSJNLG|Insurance Journal|1|1|0|AC52D1DB-D953-F111-8E26-7CED8D9E4094
FA-JNL|Fixed Asset Journal|1|1|0|AE52D1DB-D953-F111-8E26-7CED8D9E4094
FAJNL-GL|Fixed Asset G/L Journal|1|1|0|A852D1DB-D953-F111-8E26-7CED8D9E4094
FAJNL-GLR|Recurring Fixed Asset G/L Jnl|1|1|0|AA52D1DB-D953-F111-8E26-7CED8D9E4094
GJNL-GEN|General Journal|1|1|0|DF49D1DB-D953-F111-8E26-7CED8D9E4094
GJNL-PMT|Payment Journal|1|1|0|E149D1DB-D953-F111-8E26-7CED8D9E4094
GJNL-RCPT|Cash Receipts Journal|1|1|0|E349D1DB-D953-F111-8E26-7CED8D9E4094
IC_GJNL|InterCompany Gen. Jnl|1|1|0|E549D1DB-D953-F111-8E26-7CED8D9E4094
IJNL-GEN|Item Journal|1|1|0|E949D1DB-D953-F111-8E26-7CED8D9E4094
I-MOVE|Inventory Movement|1|0|0|5752D1DB-D953-F111-8E26-7CED8D9E4094
I-MOVE+|Registered Inventory Movement|1|0|0|5952D1DB-D953-F111-8E26-7CED8D9E4094
