1|GROUP-1|0.33333333333333333330|2026-01-01 00:00:17.000|Заметка номер 1 测试 é|#
2|GROUP-2|0.66666666666666666660|2026-01-01 00:00:34.000|Заметка номер 2 测试 é|#
3|GROUP-3|1.00000000000000000000|2026-01-01 00:00:51.000|Заметка номер 3 测试 é|#
4|GROUP-4|1.33333333333333333330|2026-01-01 00:01:08.000|Заметка номер 4 测试 é|#
5|GROUP-5|1.66666666666666666660|2026-01-01 00:01:25.000|Заметка номер 5 测试 é|#
6|GROUP-6|2.00000000000000000000|2026-01-01 00:01:42.000|Заметка номер 6 测试 é|#
7|GROUP-0|2.33333333333333333330|2026-01-01 00:01:59.000|Заметка номер 7 测试 é|#
8|GROUP-1|2.66666666666666666660|2026-01-01 00:02:16.000|Заметка номер 8 测试 é|#
9|GROUP-2|3.00000000000000000000|2026-01-01 00:02:33.000|Заметка номер 9 测试 é|#
10|GROUP-3|3.33333333333333333330|2026-01-01 00:02:50.000|Заметка номер 10 测试 é|#
11|GROUP-4|3.66666666666666666660|2026-01-01 00:03:07.000|Заметка номер 11 测试 é|#
12|GROUP-5|4.00000000000000000000|2026-01-01 00:03:24.000|Заметка номер 12 测试 é|#
13|GROUP-6|4.33333333333333333330|2026-01-01 00:03:41.000|Заметка номер 13 测试 é|#
14|GROUP-0|4.66666666666666666660|2026-01-01 00:03:58.000|Заметка номер 14 测试 é|#
15|GROUP-1|5.00000000000000000000|2026-01-01 00:04:15.000|Заметка номер 15 测试 é|#
16|GROUP-2|5.33333333333333333330|2026-01-01 00:04:32.000|Заметка номер 16 测试 é|#
17|GROUP-3|5.66666666666666666660|2026-01-01 00:04:49.000|Заметка номер 17 测试 é|#
18|GROUP-4|6.00000000000000000000|2026-01-01 00:05:06.000|Заметка номер 18 测试 é|#
19|GROUP-5|6.33333333333333333330|2026-01-01 00:05:23.000|Заметка номер 19 测试 é|#
20|GROUP-6|6.66666666666666666660|2026-01-01 00:05:40.000|Заметка номер 20 测试 é|#
21|GROUP-0|7.00000000000000000000|2026-01-01 00:05:57.000|Заметка номер 21 测试 é|#
22|GROUP-1|7.33333333333333333330|2026-01-01 00:06:14.000|Заметка номер 22 测试 é|#
23|GROUP-2|7.66666666666666666660|2026-01-01 00:06:31.000|Заметка номер 23 测试 é|#
24|GROUP-3|8.00000000000000000000|2026-01-01 00:06:48.000|Заметка номер 24 测试 é|#
25|GROUP-4|8.33333333333333333330|2026-01-01 00:07:05.000|Заметка номер 25 测试 é|#
26|GROUP-5|8.66666666666666666660|2026-01-01 00:07:22.000|Заметка номер 26 测试 é|#
27|GROUP-6|9.00000000000000000000|2026-01-01 00:07:39.000|Заметка номер 27 测试 é|#
28|GROUP-0|9.33333333333333333330|2026-01-01 00:07:56.000|Заметка номер 28 测试 é|#
29|GROUP-1|9.66666666666666666660|2026-01-01 00:08:13.000|Заметка номер 29 测试 é|#
30|GROUP-2|10.00000000000000000000|2026-01-01 00:08:30.000|Заметка номер 30 测试 é|#
31|GROUP-3|10.33333333333333333330|2026-01-01 00:08:47.000|Заметка номер 31 测试 é|#
32|GROUP-4|10.66666666666666666660|2026-01-01 00:09:04.000|Заметка номер 32 测试 é|#
33|GROUP-5|11.00000000000000000000|2026-01-01 00:09:21.000|Заметка номер 33 测试 é|#
34|GROUP-6|11.33333333333333333330|2026-01-01 00:09:38.000|Заметка номер 34 测试 é|#
35|GROUP-0|11.66666666666666666660|2026-01-01 00:09:55.000|Заметка номер 35 测试 é|#
36|GROUP-1|12.00000000000000000000|2026-01-01 00:10:12.000|Заметка номер 36 测试 é|#
37|GROUP-2|12.33333333333333333330|2026-01-01 00:10:29.000|Заметка номер 37 测试 é|#
38|GROUP-3|12.66666666666666666660|2026-01-01 00:10:46.000|Заметка номер 38 测试 é|#
39|GROUP-4|13.00000000000000000000|2026-01-01 00:11:03.000|Заметка номер 39 测试 é|#
40|GROUP-5|13.33333333333333333330|2026-01-01 00:11:20.000|Заметка номер 40 测试 é|#
41|GROUP-6|13.66666666666666666660|2026-01-01 00:11:37.000|Заметка номер 41 测试 é|#
42|GROUP-0|14.00000000000000000000|2026-01-01 00:11:54.000|Заметка номер 42 测试 é|#
43|GROUP-1|14.33333333333333333330|2026-01-01 00:12:11.000|Заметка номер 43 测试 é|#
44|GROUP-2|14.66666666666666666660|2026-01-01 00:12:28.000|Заметка номер 44 测试 é|#
