1|2110|2025-06-01 00:00:00.000|253300.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.567|#
2|7170|2025-06-01 00:00:00.000|-253300.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.590|#
3|2110|2025-06-01 00:00:00.000|48750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.607|#
4|7170|2025-06-01 00:00:00.000|-48750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.610|#
5|2110|2025-06-01 00:00:00.000|109750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.617|#
6|7170|2025-06-01 00:00:00.000|-109750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.623|#
7|2110|2025-06-01 00:00:00.000|48050.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.623|#
8|7170|2025-06-01 00:00:00.000|-48050.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.627|#
9|2110|2025-06-01 00:00:00.000|164000.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.627|#
10|7170|2025-06-01 00:00:00.000|-164000.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.630|#
11|2110|2025-06-01 00:00:00.000|13900.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.637|#
12|7170|2025-06-01 00:00:00.000|-13900.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.637|#
13|2110|2025-06-01 00:00:00.000|48750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.640|#
14|7170|2025-06-01 00:00:00.000|-48750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.643|#
15|2110|2025-06-01 00:00:00.000|48750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.647|#
16|7170|2025-06-01 00:00:00.000|-48750.00000000000000000000|Direct Cost  on 06/01/25|2026-05-19 23:24:50.650|#
