1|value-1|1.25|#
2|value-2|2.50|#
4|value-4|5.00|#
5|value-5|6.25|#
7|value-7|8.75|#
8|value-8|10.00|#
10|value-10|12.50|#
11|value-11|13.75|#
13|value-13|16.25|#
14|value-14|17.50|#
16|value-16|20.00|#
17|value-17|21.25|#
19|value-19|23.75|#
20|value-20|25.00|#
22|value-22|27.50|#
23|value-23|28.75|#
25|value-25|31.25|#
26|value-26|32.50|#
28|value-28|35.00|#
29|value-29|36.25|#
31|value-31|38.75|#
32|value-32|40.00|#
34|value-34|42.50|#
35|value-35|43.75|#
37|value-37|46.25|#
38|value-38|47.50|#
40|value-40|50.00|#
41|value-41|51.25|#
43|value-43|53.75|#
44|value-44|55.00|#
46|value-46|57.50|#
47|value-47|58.75|#
49|value-49|61.25|#
50|value-50|62.50|#
52|value-52|65.00|#
53|value-53|66.25|#
55|value-55|68.75|#
56|value-56|70.00|#
58|value-58|72.50|#
59|value-59|73.75|#
61|value-61|76.25|#
62|value-62|77.50|#
64|value-64|80.00|#
65|value-65|81.25|#
67|value-67|83.75|#
68|value-68|85.00|#
70|value-70|87.50|#
71|value-71|88.75|#
73|value-73|91.25|#
74|value-74|92.50|#
76|value-76|95.00|#
77|value-77|96.25|#
79|value-79|98.75|#
80|value-80|100.00|#
82|value-82|102.50|#
83|value-83|103.75|#
85|value-85|106.25|#
86|value-86|107.50|#
88|value-88|110.00|#
89|value-89|111.25|#
91|value-91|113.75|#
92|value-92|115.00|#
94|value-94|117.50|#
95|value-95|118.75|#
97|value-97|121.25|#
98|value-98|122.50|#
100|value-100|125.00|#
101|value-101|126.25|#
103|value-103|128.75|#
104|value-104|130.00|#
106|value-106|132.50|#
107|value-107|133.75|#
109|value-109|136.25|#
110|value-110|137.50|#
112|value-112|140.00|#
113|value-113|141.25|#
115|value-115|143.75|#
116|value-116|145.00|#
118|value-118|147.50|#
119|value-119|148.75|#
121|value-121|151.25|#
122|value-122|152.50|#
124|value-124|155.00|#
125|value-125|156.25|#
127|value-127|158.75|#
128|value-128|160.00|#
130|value-130|162.50|#
131|value-131|163.75|#
133|value-133|166.25|#
134|value-134|167.50|#
136|value-136|170.00|#
137|value-137|171.25|#
139|value-139|173.75|#
140|value-140|175.00|#
142|value-142|177.50|#
143|value-143|178.75|#
145|value-145|181.25|#
146|value-146|182.50|#
148|value-148|185.00|#
149|value-149|186.25|#
151|value-151|188.75|#
152|value-152|190.00|#
154|value-154|192.50|#
155|value-155|193.75|#
157|value-157|196.25|#
158|value-158|197.50|#
160|value-160|200.00|#
161|value-161|201.25|#
163|value-163|203.75|#
164|value-164|205.00|#
166|value-166|207.50|#
167|value-167|208.75|#
169|value-169|211.25|#
170|value-170|212.50|#
172|value-172|215.00|#
173|value-173|216.25|#
175|value-175|218.75|#
176|value-176|220.00|#
178|value-178|222.50|#
179|value-179|223.75|#
181|value-181|226.25|#
182|value-182|227.50|#
184|value-184|230.00|#
